<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.14	3816.600	3831.090	3780.090	3796.090	388227	1283387	0
2019.01.15	3798.680	3827.690	3790.690	3812.190	428737	1398084	0
2019.01.16	3810.470	3832.910	3803.910	3830.910	391034	1284618	0
2019.01.17	3829.930	3869.890	3822.390	3843.890	472018	1686589	0
2019.01.18	3841.730	3868.730	3822.730	3848.730	416327	1429633	0
2019.01.21	3855.030	3876.100	3849.100	3850.600	217487	697709	0
2019.01.22	3862.220	3913.210	3841.710	3912.210	445866	1586737	0
2019.01.23	3896.560	3908.560	3852.560	3864.060	447346	1604892	0
2019.01.24	3867.350	3890.420	3833.420	3868.920	448832	1605941	0
2019.01.28	3874.530	3882.110	3846.110	3856.610	392932	1343132	0
2019.01.29	3860.170	3860.680	3809.620	3814.120	372279	1295532	0
2019.01.30	3808.410	3824.880	3765.880	3776.880	433372	1498935	0
2019.01.31	3754.430	3772.860	3727.860	3735.360	413002	1440264	0
2019.02.01	3743.700	3771.690	3727.690	3749.190	412290	1380827	0
2019.02.04	3756.490	3777.990	3749.990	3759.490	354033	1216742	0
2019.02.05	3755.470	3773.960	3750.460	3758.460	334706	1093060	0
2019.02.06	3770.290	3805.500	3770.290	3788.000	385154	1353989	0
2019.02.07	3796.370	3828.370	3790.870	3808.870	438241	1539750	0
2019.02.08	3808.660	3839.090	3794.090	3821.590	396075	1429394	0
2019.02.11	3823.470	3865.560	3819.060	3847.060	387784	1391126	0
2019.02.12	3836.280	3838.250	3793.250	3800.750	379657	1417040	0
2019.02.13	3804.570	3852.570	3802.520	3845.070	385280	1392399	0
2019.02.14	3841.910	3884.920	3804.920	3813.420	472141	1705710	0
2019.02.15	3805.070	3814.930	3786.930	3789.430	351410	1230062	0
2019.02.18	3805.070	3830.620	3799.620	3822.620	242621	774734	0
2019.02.19	3826.050	3833.080	3792.080	3811.080	365716	1225299	0
2019.02.20	3808.660	3824.700	3778.200	3813.700	417014	1516785	0
2019.02.21	3806.600	3859.120	3803.620	3857.620	400979	1510179	0
2019.02.22	3845.490	3853.520	3814.020	3836.020	325217	1210837	0
2019.02.25	3815.310	3837.750	3805.250	3837.750	307811	1133559	0
2019.02.26	3839.860	3853.390	3824.890	3830.390	417245	1565011	0
2019.02.27	3829.630	3833.080	3808.080	3814.080	364285	1409652	0
2019.02.28	3813.700	3843.680	3802.180	3837.180	381645	1553334	0
2019.03.01	3836.180	3881.130	3831.130	3860.130	379149	1592627	0
2019.03.06	3881.120	3931.120	3867.120	3926.620	218412	940629	0
2019.03.07	3926.020	3990.070	3903.570	3957.570	478709	2021316	0
2019.03.08	3954.610	3990.650	3937.150	3955.150	394722	1511740	0
2019.03.11	3941.350	3946.350	3920.350	3926.350	345448	1284577	0
2019.03.12	3928.580	3930.630	3888.080	3897.580	347636	1357203	0
2019.03.13	3888.760	3919.240	3885.240	3898.740	392768	1542153	0
2019.03.14	3906.620	3939.090	3901.590	3927.590	345337	1281890	0
2019.03.15	3921.940	3955.410	3891.410	3896.910	378509	1392355	0
2019.03.18	3890.290	3910.260	3866.760	3873.760	371809	1321425	0
2019.03.19	3868.340	3881.820	3846.820	3871.320	386729	1432866	0
2019.03.20	3867.320	3880.280	3819.780	3856.780	445880	1602548	0
2019.03.21	3866.280	3918.840	3844.840	3874.840	513510	1891740	0
2019.03.22	3946.450	3999.510	3936.510	3989.510	547391	1831030	0
2019.03.25	4015.880	4021.380	3927.880	3933.880	468793	1654114	0
2019.03.26	3932.650	3961.640	3915.640	3958.640	439576	1546769	0
2019.03.27	4003.620	4085.180	3987.680	4076.180	565353	2018156	0
2019.03.28	4075.610	4102.630	3982.630	3985.130	573552	1731996	0
2019.03.29	3960.230	4015.620	3949.620	4004.120	426180	1222300	0
2019.04.01	3974.500	3975.520	3930.980	3933.980	268297	903621	0
2019.04.02	3933.730	3960.200	3929.200	3934.200	389170	1221243	0
2019.04.03	3914.870	3962.400	3914.370	3949.900	351771	1105107	0
2019.04.04	3951.060	3969.010	3929.010	3934.510	373808	1180310	0
2019.04.05	3936.790	3957.800	3923.300	3952.800	327658	1025284	0
2019.04.08	3948.010	3957.470	3922.470	3929.470	306566	1004078	0
2019.04.09	3932.700	3943.690	3926.190	3929.690	300249	1000182	0
2019.04.10	3915.900	3926.390	3893.390	3904.390	313111	1030598	0
2019.04.11	3915.390	3941.400	3909.400	3936.400	297137	990902	0
2019.04.12	3958.200	3986.150	3937.650	3960.150	360440	1258681	0
2019.04.15	3958.200	3968.690	3937.190	3950.190	337565	1229146	0
2019.04.16	3954.110	3985.100	3952.600	3981.100	336190	1196663	0
2019.04.17	3966.350	4025.870	3963.870	4016.370	396551	1495528	0
2019.04.18	4000.990	4030.000	3982.000	4000.000	321398	1122984	0
2019.04.22	4003.030	4017.000	3991.000	4014.000	229856	795905	0
2019.04.23	4008.130	4041.130	3989.630	3998.130	356974	1292525	0
2019.04.24	3996.410	4071.420	3994.420	4068.920	412897	1559224	0
2019.04.25	4078.460	4084.560	4025.030	4029.030	367339	1295767	0
2019.04.26	4033.600	4052.100	3996.600	4005.100	315643	1103284	0
2019.04.29	4003.530	4021.530	3996.530	4021.530	234876	830144	0
2019.04.30	3996.270	4017.250	3989.750	4009.750	20728	66507	0
2019.05.02	4008.460	4046.450	4001.450	4042.450	318825	1200623	0
2019.05.03	4036.930	4042.970	4006.470	4013.970	301989	1112732	0
2019.05.06	4037.940	4049.470	4022.470	4041.470	295112	1022995	0
2019.05.07	4038.960	4074.970	4037.940	4044.470	393093	1467443	0
2019.05.08	4052.700	4053.700	3999.680	4002.680	370050	1372702	0
2019.05.09	4016.090	4054.550	4005.050	4020.050	415826	1601863	0
2019.05.10	4018.630	4046.080	4005.080	4025.080	409981	1535145	0
2019.05.13	4049.110	4079.200	4045.700	4069.200	444489	1538053	0
2019.05.14	4060.830	4067.830	4038.830	4047.830	377917	1329850	0
2019.05.15	4072.510	4093.970	4046.470	4075.970	447533	1648431	0
2019.05.16	4075.040	4127.540	4066.540	4120.040	429401	1576902	0
2019.05.17	4128.410	4185.390	4120.390	4172.390	538332	1999975	0
2019.05.20	4159.410	4194.380	4150.380	4169.880	459679	1601131	0
2019.05.21	4164.500	4184.940	4104.940	4110.940	444473	1663533	0
2019.05.22	4112.650	4121.670	4077.170	4110.670	396250	1474977	0
2019.05.23	4128.410	4140.850	4094.850	4110.350	396268	1517259	0
2019.05.24	4108.580	4116.570	4077.570	4093.070	362785	1345176	0
2019.05.27	4083.190	4112.190	4072.690	4111.190	212814	748526	0
2019.05.28	4107.570	4121.650	4078.650	4091.150	372861	1441895	0
2019.05.29	4106.560	4108.550	4035.550	4041.550	365319	1480491	0
2019.05.30	4040.490	4059.460	4020.460	4048.460	356148	1282552	0
2019.05.31	4050.930	4063.900	3974.400	3990.400	414901	1586214	0
2019.06.03	3996.690	3999.160	3946.160	3949.660	341393	1368635	0
2019.06.04	3951.570	3951.570	3911.390	3916.890	378703	1416448	0
2019.06.05	3919.620	3964.150	3899.150	3943.150	447444	1732294	0
2019.06.06	3934.840	3948.780	3917.780	3941.280	389123	1355204	0
2019.06.07	3941.420	3946.460	3910.460	3939.460	318754	1132086	0
2019.06.10	3954.090	3959.570	3927.570	3949.070	301347	1037158	0
2019.06.11	3939.390	3944.390	3901.890	3916.890	297336	1103657	0
2019.06.12	3923.680	3930.580	3888.580	3925.080	367487	1440602	0
2019.06.13	3908.970	3923.040	3892.540	3907.040	318984	1227314	0
2019.06.14	3914.040	3971.050	3906.050	3953.050	419811	1681994	0
2019.06.17	3951.570	3982.030	3938.030	3946.030	349758	1365007	0
2019.06.18	3932.280	3935.280	3905.780	3917.280	300197	1129585	0
2019.06.19	3924.180	3940.650	3895.150	3895.650	339221	1418692	0
2019.06.21	3886.660	3901.690	3869.190	3877.190	298345	1062704	0
2019.06.24	3885.660	3892.640	3862.640	3879.640	306448	1166419	0
2019.06.25	3882.610	3911.600	3873.600	3900.600	368710	1434257	0
2019.06.26	3890.210	3910.210	3886.210	3897.210	325890	1233776	0
2019.06.27	3917.080	3926.560	3873.060	3874.060	325488	1276702	0
2019.06.28	3864.840	3903.810	3855.810	3903.810	224668	885340	0
2019.07.01	3887.580	3901.070	3862.570	3895.070	285949	1127247	0
