<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.17	63821	65563	63578	64523	199214	499330	0
2015.09.18	63953	64144	62164	62359	162872	433796	0
2015.09.21	62905	63051	61556	62021	148447	377469	0
2015.09.22	61263	61746	60106	61381	167392	434280	0
2015.09.23	61653	61936	59778	59973	184800	483495	0
2015.09.24	59273	60247	58202	60022	211188	528540	0
2015.09.25	60789	61014	58999	58999	160988	424824	0
2015.09.28	58606	58851	57966	58281	138469	326992	0
2015.09.29	58522	58916	58166	58396	140385	356882	0
2015.09.30	59503	60139	58734	59544	149095	377291	0
2015.10.01	59675	60385	59190	60385	151016	370577	0
2015.10.02	60372	62410	59495	62370	180538	452984	0
2015.10.05	62668	63492	62632	62872	135996	332192	0
2015.10.06	62634	63497	62569	62732	151839	371764	0
2015.10.07	63256	65097	63188	64452	216248	547667	0
2015.10.08	64197	64980	64025	64640	175060	429226	0
2015.10.09	65101	65561	64281	65281	155750	381348	0
2015.10.13	64349	64349	62173	62253	153166	369244	0
2015.10.14	62443	62956	61546	61626	180028	436625	0
2015.10.15	61964	62174	60969	61984	172328	419617	0
2015.10.16	62242	62785	61165	61625	169632	423450	0
2015.10.19	62029	62607	61547	62397	155655	383366	0
2015.10.20	62138	62731	61266	61706	140361	348451	0
2015.10.21	61788	62076	61296	61566	137936	354738	0
2015.10.22	61788	63038	61688	63038	144846	360858	0
2015.10.23	63279	64284	62364	62389	164065	426726	0
2015.10.26	62210	62985	61995	62200	110024	263925	0
2015.10.27	62022	62189	61329	61454	133756	327467	0
2015.10.28	61815	62262	60747	61102	155573	374386	0
2015.10.29	60874	61117	59737	59772	150227	361571	0
2015.10.30	59746	60362	59502	60117	128171	333818	0
2015.11.03	60686	63661	60581	63536	185874	480257	0
2015.11.04	63798	64504	62254	62634	185357	461355	0
2015.11.05	62657	63032	62182	62617	152074	374187	0
2015.11.06	62450	62697	60697	61567	157700	384736	0
2015.11.09	61659	61724	60236	60236	141902	337263	0
2015.11.10	59908	61156	59406	60886	159352	408266	0
2015.11.11	60816	61869	60686	61524	167954	429488	0
2015.11.12	61853	62153	61053	61063	160067	402292	0
2015.11.13	60615	61341	60516	60971	154916	382249	0
2015.11.16	60744	61436	60576	61426	121183	302408	0
2015.11.17	61982	62412	61607	61652	129885	325268	0
2015.11.18	61360	62616	61286	62171	129195	338616	0
2015.11.19	62638	63204	62274	63179	135786	347510	0
2015.11.23	63117	63632	62567	62582	131858	333908	0
2015.11.24	62274	63059	61819	63009	134394	344254	0
2015.11.25	62618	62618	60882	61082	142566	381720	0
2015.11.26	61154	61517	61062	61417	55729	151398	0
2015.11.27	60958	61162	59507	59572	115541	315036	0
2015.11.30	59500	59714	58594	58594	156231	386522	0
2015.12.01	58935	59152	58217	58357	149359	373827	0
2015.12.02	58255	59067	58097	58222	171190	429721	0
2015.12.03	59908	61479	59724	60119	189105	498345	0
2015.12.04	60083	60299	58549	59184	176544	440261	0
2015.12.07	58865	60084	58809	59014	149621	373850	0
2015.12.08	58728	59120	57465	57465	157306	398938	0
2015.12.09	58308	60371	58106	60096	222036	554857	0
2015.12.10	59746	60123	58908	59403	149918	368787	0
2015.12.11	58806	59610	58275	58755	180911	448723	0
2015.12.14	59065	59362	57752	58182	163220	389583	0
