<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.14	85665	87792	85537	87452	2312146	8538209	0
2018.01.21	87388	92222	86713	92097	2448650	8980880	0
2018.01.28	91810	92720	90054	90454	3151135	11299680	0
2018.02.04	89926	90794	85555	86985	4675394	15466599	0
2018.02.11	89980	91943	89409	91823	1716855	5919243	0
2018.02.18	92052	94702	91277	94608	3066833	11086569	0
2018.02.25	95101	95683	90789	92799	3630189	13172310	0
2018.03.04	92642	94108	91232	93313	3419977	12279209	0
2018.03.11	93716	94431	91191	91191	3102127	12363878	0
2018.03.18	90737	92233	90259	91307	3884106	14280822	0
2018.03.25	92020	92427	89273	92054	3336658	11804498	0
2018.04.01	91687	92981	89042	91084	4038868	15616751	0
2018.04.08	91751	92213	89381	90322	3470113	12852920	0
2018.04.15	90404	92360	88742	92220	3423873	12445967	0
2018.04.22	91829	93393	90316	92553	3396363	12552940	0
2018.04.29	92733	92922	88439	88924	2576996	9272727	0
2018.05.06	89062	92400	87878	91410	3577456	12880046	0
2018.05.13	91435	92636	86957	88527	4054282	14437136	0
2018.05.20	89052	89591	83839	84174	4396467	15089726	0
2018.05.27	83465	83718	79608	82638	4283712	13915947	0
2018.06.03	83119	83971	75742	77541	5545218	17297412	0
2018.06.10	77592	78466	73302	74302	4685452	14662347	0
2018.06.17	73701	76384	72297	74070	4082466	12935730	0
2018.06.24	73963	76712	73358	76007	4255004	12920443	0
2018.07.01	75613	79190	75381	78892	3311558	10569189	0
2018.07.08	79184	80595	77508	80430	2770363	9130936	0
2018.07.15	80250	83891	79496	82111	3648403	11407411	0
2018.07.22	82208	84236	81504	83812	3707638	11824242	0
2018.07.29	83858	85513	82021	85083	3287367	11362177	0
2018.08.05	85237	85729	79438	79823	3942635	13105784	0
2018.08.12	79581	82232	78758	79181	3588195	11341375	0
2018.08.19	79525	80558	77503	79745	4102745	13912521	0
2018.08.26	80032	82121	79055	79845	3632726	12242102	0
2018.09.02	79923	81260	77071	80085	2786922	9509755	0
2018.09.09	80705	80870	77242	78467	3753446	12647816	0
2018.09.16	78127	83147	77767	82157	4107909	13771370	0
2018.09.23	81870	83176	79622	82138	4276307	13434285	0
2018.09.30	82325	88579	81024	85734	5143718	16330560	0
2018.10.07	89557	91063	85643	86658	4759116	14720398	0
2018.10.14	87269	90095	85984	88098	5216491	17294312	0
